Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size_ml,Skin_Type,Gender_Target,Packaging_Type,Main_Ingredient,Cruelty_Free,Country_of_Origin
Perfect BB Cream,Patrick Ta,Mascara,Occasional,53.85,1.7,5979,30,Normal,Unisex,Stick,Aloe Vera,True,South Korea
Perfect Lip Liner,Hourglass,Setting Spray,Weekly,51.03,4,3838,150,Dry,Unisex,Jar,Hyaluronic Acid,True,Germany
Divine Setting Spray,Juvia’s Place,Serum,Occasional,15.99,3.3,6559,200,Combination,Female,Compact,Glycerin,False,Australia
Magic Lip Liner,NARS,CC Cream,Weekly,100.05,1.1,743,50,Dry,Male,Spray,Hyaluronic Acid,False,Germany
Super Mascara,Hourglass,Lip Gloss,Occasional,95.4,4,2192,150,Oily,Male,Bottle,Glycerin,False,South Korea
Ultra Cleanser,NARS,Powder,Occasional,52.06,3.7,8047,50,Combination,Female,Tube,Aloe Vera,False,Japan
Magic Highlighter,Charlotte Tilbury,Mascara,Daily,110.71,2.2,5384,50,Dry,Unisex,Compact,Retinol,False,Australia
Perfect Foundation,Fenty Beauty,Moisturizer,Occasional,31.89,3.2,6463,250,Normal,Female,Spray,Salicylic Acid,False,Germany
Divine Cleanser,Tarte,Bronzer,Monthly,58.92,4.2,3820,30,Combination,Unisex,Tube,Glycerin,False,UK
Super Highlighter,Pat McGrath Labs,Exfoliator,Daily,54.65,4.9,7666,200,Oily,Female,Tube,Glycerin,False,UK
Perfect Highlighter,Perricone MD,Cleanser,Daily,148.17,2,6541,50,Combination,Unisex,Bottle,Hyaluronic Acid,True,South Korea
Perfect Lip Gloss,Ilia Beauty,Foundation,Monthly,119.22,2.8,8082,250,Normal,Unisex,Stick,Hyaluronic Acid,True,France
Divine CC Cream,Tarte,Eye Shadow,Daily,143.59,1.2,9635,50,Combination,Female,Jar,Shea Butter,False,South Korea
Divine Eye Shadow,ColourPop,Lip Gloss,Occasional,116.47,3.6,9048,200,Combination,Female,Bottle,Retinol,True,UK
Ultra Eye Shadow,Kiehl’s,Blush,Weekly,35.66,2.7,3081,100,Normal,Male,Jar,Glycerin,False,Italy
Perfect Primer,Juvia’s Place,Mascara,Weekly,37.4,2.6,5029,250,Sensitive,Female,Bottle,Retinol,False,Germany
Super Contour,Glossier,Makeup Remover,Occasional,144.29,3,1718,200,Combination,Male,Compact,Vitamin C,False,USA
Perfect Contour,Sisley,Blush,Weekly,104.34,1.9,401,30,Sensitive,Male,Jar,Shea Butter,False,Australia
Magic Cleanser,Anastasia Beverly Hills,Concealer,Monthly,84.07,3.8,3362,100,Dry,Female,Spray,Shea Butter,True,South Korea
Ultra Mascara,Tatcha,Bronzer,Weekly,104.9,4.5,6379,100,Normal,Female,Tube,Shea Butter,False,USA
Super BB Cream,Shiseido,Concealer,Daily,131.63,3.6,9990,150,Dry,Female,Spray,Shea Butter,False,South Korea
Super Setting Spray,Perricone MD,Foundation,Occasional,114.6,2.4,991,200,Normal,Unisex,Jar,Salicylic Acid,True,South Korea
Perfect Lipstick,Tarte,Face Mask,Monthly,40.81,3.8,8723,100,Combination,Unisex,Tube,Hyaluronic Acid,False,Italy
Ultra Lipstick,Huda Beauty,Bronzer,Weekly,11.44,1.8,3305,250,Normal,Male,Jar,Salicylic Acid,True,Germany
Magic Eye Shadow,KVD Beauty,CC Cream,Weekly,127.76,2.3,8587,100,Normal,Female,Stick,Hyaluronic Acid,False,Australia
Ultra Blush,IT Cosmetics,Lipstick,Occasional,76.92,1.3,9889,250,Dry,Male,Jar,Shea Butter,True,South Korea
Ultra Blush,E.l.f.,Eye Shadow,Monthly,120.91,3.2,5159,50,Dry,Unisex,Spray,Vitamin C,True,UK
Super Primer,Farsali,Lipstick,Daily,67.32,1.5,6102,100,Combination,Female,Spray,Vitamin C,True,France
Ultra BB Cream,Kylie Cosmetics,Contour,Weekly,87.39,2.6,4846,30,Dry,Male,Bottle,Salicylic Acid,False,USA
Super Face Mask,Charlotte Tilbury,Cleanser,Daily,85.83,4.6,8613,50,Dry,Male,Compact,Salicylic Acid,True,Japan
Perfect Powder,Shiseido,Highlighter,Weekly,47.15,4.1,6406,100,Combination,Unisex,Bottle,Vitamin C,False,USA
Divine Bronzer,Farsali,Foundation,Occasional,103,5,9904,30,Dry,Unisex,Stick,Vitamin C,True,Australia
Magic Setting Spray,Clinique,Serum,Occasional,113.65,2.3,3028,50,Normal,Unisex,Stick,Retinol,True,Australia
Ultra Makeup Remover,Anastasia Beverly Hills,Blush,Occasional,96.37,2.2,776,50,Dry,Male,Tube,Salicylic Acid,False,Italy
Super BB Cream,Bobby Brown,Eyeliner,Weekly,70.72,1.6,8753,250,Combination,Unisex,Spray,Glycerin,True,USA
Divine Primer,E.l.f.,Concealer,Monthly,114.3,2.7,3174,200,Oily,Unisex,Bottle,Retinol,False,Italy
Magic Blush,Kylie Cosmetics,Highlighter,Occasional,55.93,3.3,8919,250,Dry,Female,Compact,Hyaluronic Acid,False,Australia
Divine Lip Gloss,Kylie Cosmetics,Foundation,Monthly,134.96,4.7,5283,200,Dry,Male,Tube,Aloe Vera,False,UK
Ultra Bronzer,Juvia’s Place,Lip Liner,Occasional,43.32,1.7,1448,30,Sensitive,Female,Stick,Hyaluronic Acid,False,South Korea
Magic Bronzer,Bobby Brown,Moisturizer,Weekly,40.31,4.9,7779,30,Oily,Female,Stick,Glycerin,True,USA
Magic Mascara,Farsali,Lipstick,Occasional,31.57,4,6269,250,Oily,Female,Jar,Hyaluronic Acid,True,Japan
Magic Blush,Kylie Cosmetics,Contour,Occasional,96.34,3.9,8488,150,Oily,Female,Jar,Shea Butter,True,Australia
Perfect Serum,Make Up For Ever,Primer,Monthly,101.91,1.9,4422,30,Combination,Male,Compact,Retinol,True,USA
Divine Mascara,Make Up For Ever,Face Oil,Occasional,10.2,1.8,7814,100,Combination,Unisex,Tube,Shea Butter,True,Italy
Super Lip Gloss,Drunk Elephant,Primer,Weekly,63.5,3.2,4547,250,Dry,Female,Stick,Shea Butter,True,Japan
Perfect Eye Shadow,Bobby Brown,Eyeliner,Daily,119.63,2.2,3089,250,Normal,Male,Bottle,Hyaluronic Acid,False,USA
Divine Highlighter,Yves Saint Laurent,BB Cream,Daily,147.67,1,9889,150,Sensitive,Female,Stick,Glycerin,True,Japan
Ultra Serum,Juvia’s Place,Eyeliner,Monthly,70.24,2.4,5240,150,Sensitive,Unisex,Spray,Shea Butter,True,USA
Super Blush,Becca,Face Oil,Daily,86.98,1.8,8258,50,Dry,Unisex,Tube,Glycerin,False,USA
Super Lip Liner,Becca,CC Cream,Daily,145.28,4.7,766,30,Oily,Female,Spray,Retinol,True,Italy
Super Setting Spray,Milk Makeup,Eye Shadow,Occasional,63.09,1.3,8611,100,Dry,Unisex,Stick,Aloe Vera,True,France
Divine BB Cream,Shiseido,Primer,Weekly,86.62,4.3,6736,50,Combination,Unisex,Bottle,Retinol,False,Germany
Super Face Oil,Hourglass,Powder,Occasional,107.2,4.6,9835,100,Oily,Male,Bottle,Salicylic Acid,True,UK
Super Contour,Kylie Cosmetics,Concealer,Daily,107.24,4.4,3865,150,Oily,Female,Compact,Glycerin,False,South Korea
Super Bronzer,Huda Beauty,Mascara,Occasional,86.57,1.2,5072,200,Oily,Female,Bottle,Glycerin,True,Italy
Divine Eye Shadow,Bite Beauty,Serum,Monthly,106.8,3.5,8552,200,Sensitive,Unisex,Compact,Retinol,True,France
Divine BB Cream,Clinique,Lip Liner,Occasional,57.84,4.3,9804,30,Sensitive,Female,Tube,Hyaluronic Acid,True,Italy
Divine Lipstick,NARS,Cleanser,Weekly,79.2,4.5,7625,30,Dry,Male,Tube,Glycerin,True,Japan
Super Face Oil,NARS,Powder,Occasional,95.98,1.3,8285,100,Oily,Unisex,Bottle,Retinol,False,Germany
Divine Primer,Kylie Cosmetics,Face Oil,Weekly,91.97,4.5,4038,50,Oily,Unisex,Stick,Glycerin,True,Italy
Divine CC Cream,Patrick Ta,Mascara,Occasional,126.27,1.5,5729,250,Normal,Male,Tube,Glycerin,False,Germany
Magic Mascara,Make Up For Ever,Mascara,Weekly,148.03,1.8,855,50,Sensitive,Female,Bottle,Salicylic Acid,False,Germany
Magic Moisturizer,RMS Beauty,Serum,Daily,18.16,3.5,7572,50,Dry,Male,Bottle,Shea Butter,False,Australia
Ultra BB Cream,RMS Beauty,Face Oil,Monthly,148.16,2.9,4420,50,Combination,Unisex,Spray,Glycerin,True,Italy
Divine Mascara,Bobby Brown,Highlighter,Monthly,68.59,3.3,3530,100,Oily,Female,Stick,Aloe Vera,False,USA
Magic Powder,Juvia’s Place,Concealer,Weekly,101.28,4.2,6529,50,Dry,Male,Jar,Aloe Vera,True,France
Magic BB Cream,Fenty Beauty,Contour,Monthly,85.46,3.7,5907,100,Oily,Unisex,Jar,Retinol,True,South Korea
Super Mascara,Morphe,Eyeliner,Monthly,108.6,2.7,4371,50,Dry,Male,Stick,Glycerin,False,Italy
Magic Exfoliator,Kylie Cosmetics,Foundation,Occasional,33.72,4.4,1242,200,Sensitive,Male,Compact,Glycerin,False,Italy
Ultra BB Cream,Becca,Lipstick,Monthly,17.88,2.8,1262,30,Sensitive,Unisex,Stick,Salicylic Acid,True,France
Ultra Eyeliner,Fenty Beauty,Eye Shadow,Monthly,57.37,4.6,3254,30,Combination,Unisex,Bottle,Aloe Vera,False,France
Magic Face Mask,Yves Saint Laurent,Cleanser,Monthly,90.53,2.6,2864,150,Combination,Male,Bottle,Hyaluronic Acid,True,Australia
Divine Primer,IT Cosmetics,Face Oil,Monthly,141.54,4.7,1433,150,Combination,Unisex,Tube,Salicylic Acid,True,France
Super Blush,Natasha Denona,Eye Shadow,Monthly,54.79,1.1,7425,50,Normal,Unisex,Compact,Hyaluronic Acid,True,Germany
Ultra Concealer,Natasha Denona,Moisturizer,Monthly,51.94,1.5,2735,50,Normal,Unisex,Stick,Retinol,False,South Korea
Perfect Face Oil,E.l.f.,Foundation,Daily,74.3,1.7,9875,30,Oily,Unisex,Spray,Vitamin C,True,Australia
Ultra Moisturizer,RMS Beauty,Lip Gloss,Daily,22.41,4,7505,150,Normal,Female,Tube,Retinol,False,Australia
Ultra Foundation,Kylie Cosmetics,Blush,Occasional,115.5,1.5,6391,50,Oily,Female,Bottle,Aloe Vera,True,Australia
Divine Lipstick,Huda Beauty,Foundation,Daily,72.31,2.7,6582,200,Oily,Unisex,Stick,Glycerin,False,Italy
Perfect Concealer,Farsali,Eyeliner,Daily,116.87,4,774,100,Dry,Female,Stick,Shea Butter,False,France
Perfect Lip Liner,Morphe,Lipstick,Monthly,23.24,2.9,7651,150,Normal,Female,Tube,Hyaluronic Acid,False,Japan
Ultra Setting Spray,E.l.f.,Foundation,Occasional,52.39,2.8,1733,200,Oily,Unisex,Spray,Salicylic Acid,True,South Korea
Magic Cleanser,Juvia’s Place,Lipstick,Occasional,77.73,4.3,6990,30,Normal,Female,Compact,Vitamin C,False,Australia
Ultra Contour,RMS Beauty,Face Mask,Occasional,11.07,2.6,6608,250,Normal,Female,Compact,Glycerin,True,France
Super Serum,Huda Beauty,Lipstick,Monthly,79.14,4.6,4266,200,Sensitive,Female,Jar,Shea Butter,False,USA
Magic Lip Liner,NARS,Cleanser,Monthly,37.65,3.1,4615,50,Sensitive,Unisex,Spray,Vitamin C,True,South Korea
Perfect Makeup Remover,Shiseido,CC Cream,Monthly,31.52,1.5,1882,250,Normal,Male,Compact,Salicylic Acid,False,USA
Perfect Concealer,Tatcha,Face Mask,Occasional,85.74,2.8,9124,200,Combination,Unisex,Compact,Vitamin C,False,Australia
Divine Foundation,Bite Beauty,Bronzer,Daily,32.99,4.4,5787,200,Oily,Female,Stick,Salicylic Acid,False,Italy
Ultra CC Cream,Anastasia Beverly Hills,BB Cream,Monthly,119.6,4.5,2812,200,Oily,Female,Spray,Hyaluronic Acid,False,USA
Magic Foundation,RMS Beauty,Bronzer,Occasional,120.89,2.9,2995,50,Oily,Unisex,Tube,Vitamin C,False,Australia
Perfect Blush,Clinique,Powder,Monthly,136.64,2.3,9817,100,Sensitive,Male,Tube,Aloe Vera,True,UK
Super Lip Gloss,Sisley,BB Cream,Occasional,105.97,3.8,6705,150,Oily,Female,Spray,Aloe Vera,True,Italy
Super Blush,Anastasia Beverly Hills,Foundation,Daily,142.12,3.4,9423,250,Dry,Female,Tube,Retinol,True,Australia
Perfect Eye Shadow,Glossier,Setting Spray,Monthly,103.69,4.8,6741,150,Dry,Male,Compact,Vitamin C,True,USA
Perfect Powder,Yves Saint Laurent,Highlighter,Monthly,79.97,1.8,8236,250,Normal,Unisex,Bottle,Glycerin,False,UK
Ultra Blush,Huda Beauty,Moisturizer,Monthly,44.62,4.1,7991,200,Oily,Female,Bottle,Shea Butter,True,UK
Divine Primer,Becca,Eyeliner,Daily,136.24,4.7,1645,50,Oily,Male,Stick,Glycerin,False,Italy
Perfect Highlighter,Morphe,Eyeliner,Occasional,146.43,3.4,946,250,Sensitive,Unisex,Tube,Glycerin,True,Japan
Perfect Eyeliner,ColourPop,Concealer,Daily,129.74,2,2946,250,Normal,Unisex,Spray,Retinol,True,USA
Ultra Cleanser,Bobby Brown,Foundation,Daily,73.44,2,3142,50,Combination,Unisex,Compact,Salicylic Acid,True,South Korea
Perfect Makeup Remover,RMS Beauty,Lip Liner,Daily,60.46,3.5,4261,100,Combination,Female,Bottle,Aloe Vera,True,France
Divine BB Cream,Pat McGrath Labs,Powder,Occasional,42.04,2.4,3548,200,Combination,Unisex,Jar,Salicylic Acid,True,France
Divine Bronzer,Juvia’s Place,Setting Spray,Daily,38.4,4.6,5068,250,Oily,Male,Spray,Hyaluronic Acid,False,UK
Super Lip Liner,Kiehl’s,Cleanser,Daily,108.54,4.8,999,150,Normal,Unisex,Bottle,Salicylic Acid,True,Australia
Super Foundation,NARS,Face Mask,Weekly,25.85,3.8,5070,200,Combination,Female,Jar,Vitamin C,False,Australia
Divine Exfoliator,Danessa Myricks,Contour,Monthly,142.82,2.5,9883,100,Sensitive,Female,Spray,Hyaluronic Acid,True,Japan
Perfect BB Cream,Sisley,Eye Shadow,Occasional,142.43,4.6,2351,150,Normal,Male,Spray,Shea Butter,True,USA
Ultra Serum,Perricone MD,Setting Spray,Monthly,109.25,4.2,3562,50,Normal,Male,Bottle,Aloe Vera,True,Germany
Divine Serum,NARS,CC Cream,Daily,63.82,2.1,1558,150,Dry,Male,Tube,Vitamin C,False,South Korea
Divine Highlighter,Anastasia Beverly Hills,Eyeliner,Occasional,96.57,1.6,4649,50,Combination,Female,Stick,Shea Butter,False,Australia
Ultra Highlighter,Glossier,Makeup Remover,Weekly,81.47,3.5,7022,150,Sensitive,Male,Compact,Vitamin C,True,South Korea
Magic Serum,Tarte,Eyeliner,Occasional,65.82,1.3,5002,250,Oily,Female,Compact,Hyaluronic Acid,False,South Korea
Perfect Powder,Laura Mercier,Contour,Occasional,64.75,3.5,1783,150,Oily,Unisex,Spray,Hyaluronic Acid,True,Japan
Super Cleanser,Bourjois,CC Cream,Occasional,65.16,3.9,6707,100,Oily,Female,Stick,Salicylic Acid,False,Australia
Divine Concealer,Milk Makeup,Foundation,Occasional,132.63,4.7,6350,50,Combination,Unisex,Tube,Hyaluronic Acid,False,Italy
Ultra BB Cream,Shiseido,Cleanser,Daily,35.49,1.4,3418,100,Combination,Female,Compact,Vitamin C,False,USA
Magic Concealer,Yves Saint Laurent,Exfoliator,Weekly,104.76,2.5,5584,150,Normal,Male,Stick,Aloe Vera,True,UK
Divine Primer,Morphe,CC Cream,Daily,126.62,3.1,228,150,Dry,Unisex,Jar,Hyaluronic Acid,True,Italy
Divine Highlighter,E.l.f.,Concealer,Weekly,102.31,4.8,3220,150,Oily,Female,Bottle,Glycerin,True,South Korea
Perfect CC Cream,NARS,Bronzer,Monthly,45.99,2.5,4133,100,Combination,Unisex,Bottle,Salicylic Acid,True,South Korea
Divine BB Cream,Laura Mercier,Foundation,Monthly,103.16,2.4,1202,150,Sensitive,Unisex,Jar,Retinol,True,Australia
Perfect Eyeliner,Rare Beauty,Powder,Monthly,32.02,4.8,6744,30,Combination,Male,Compact,Vitamin C,False,UK
Perfect Contour,Natasha Denona,Contour,Daily,109.15,2.5,8361,200,Sensitive,Female,Tube,Salicylic Acid,True,Japan
Super BB Cream,Huda Beauty,Primer,Monthly,57.36,3.8,3738,50,Sensitive,Male,Tube,Shea Butter,True,Australia
Ultra Concealer,Patrick Ta,Moisturizer,Monthly,121.9,1.7,6124,30,Combination,Unisex,Stick,Vitamin C,True,Germany
Magic Bronzer,Ilia Beauty,Highlighter,Weekly,135.32,1.1,2457,30,Normal,Female,Bottle,Aloe Vera,False,USA
Super Contour,Laura Mercier,Cleanser,Occasional,94.19,3.9,6048,50,Oily,Male,Compact,Hyaluronic Acid,True,Italy
Ultra Primer,Yves Saint Laurent,Makeup Remover,Daily,141.56,1.6,1947,200,Dry,Female,Jar,Hyaluronic Acid,True,Australia
Divine Face Mask,Becca,Setting Spray,Daily,20.84,4,5919,50,Oily,Male,Jar,Vitamin C,False,Japan
Ultra Face Oil,Shiseido,Primer,Monthly,19.66,2.2,9700,100,Dry,Unisex,Bottle,Hyaluronic Acid,True,Australia
Divine Lip Gloss,Juvia’s Place,Cleanser,Occasional,137.69,3.5,5234,250,Combination,Male,Jar,Salicylic Acid,False,Australia
Magic Lip Gloss,Becca,Contour,Weekly,68.32,1.6,499,150,Oily,Female,Compact,Vitamin C,False,USA
Ultra CC Cream,Hourglass,Highlighter,Weekly,25.07,1.3,1556,250,Combination,Unisex,Jar,Glycerin,False,Japan
Magic Lip Liner,Ilia Beauty,Face Oil,Daily,110.26,1,1018,100,Dry,Female,Tube,Hyaluronic Acid,True,Italy
Divine CC Cream,Bobby Brown,Face Mask,Occasional,74.56,1.2,8198,150,Combination,Unisex,Spray,Glycerin,True,Germany
Divine Foundation,Patrick Ta,Cleanser,Daily,92.06,1.9,1332,30,Sensitive,Male,Tube,Salicylic Acid,False,Italy
Magic Serum,ColourPop,Highlighter,Weekly,96.46,4.4,3308,250,Oily,Unisex,Compact,Shea Butter,True,South Korea
Divine Serum,KVD Beauty,Lipstick,Daily,18.93,3.1,6253,50,Normal,Unisex,Spray,Salicylic Acid,True,USA
Divine Lip Gloss,Juvia’s Place,Mascara,Occasional,64.03,2.5,9528,200,Sensitive,Male,Spray,Shea Butter,True,Japan
Magic Lipstick,Drunk Elephant,Lip Gloss,Weekly,48.94,1.7,9317,50,Sensitive,Unisex,Stick,Retinol,True,Italy
Ultra Lipstick,Glossier,Mascara,Monthly,87.32,2.3,9796,200,Normal,Unisex,Compact,Hyaluronic Acid,True,Germany
Ultra Blush,Laura Mercier,Makeup Remover,Monthly,67.11,3.6,9943,150,Combination,Unisex,Jar,Aloe Vera,False,UK
Ultra BB Cream,Tatcha,Face Mask,Daily,126.39,4.2,5702,30,Combination,Male,Spray,Aloe Vera,True,South Korea
Magic Face Mask,Perricone MD,Face Oil,Monthly,32.63,1.3,3151,150,Normal,Unisex,Compact,Glycerin,True,Japan
Divine Moisturizer,Danessa Myricks,Highlighter,Daily,106.19,1.1,1641,50,Dry,Unisex,Stick,Aloe Vera,False,USA
Super Primer,Fenty Beauty,CC Cream,Monthly,58.78,1.5,6828,150,Oily,Male,Compact,Shea Butter,False,Australia
Super CC Cream,Kiehl’s,Powder,Occasional,26.93,3.7,7245,30,Oily,Male,Tube,Hyaluronic Acid,False,Australia
Super Face Oil,Bite Beauty,Makeup Remover,Weekly,86.84,2.7,8121,200,Combination,Female,Spray,Glycerin,True,Australia
Magic Face Oil,RMS Beauty,Lip Liner,Occasional,39.89,1.2,7009,30,Dry,Unisex,Stick,Vitamin C,False,France
Ultra Concealer,Becca,Highlighter,Weekly,107.98,4.5,8426,100,Sensitive,Unisex,Bottle,Shea Butter,False,UK
Ultra Lip Liner,Too Faced,Moisturizer,Weekly,82.61,4.7,1095,150,Combination,Female,Tube,Vitamin C,True,Japan
Super CC Cream,Ilia Beauty,Blush,Weekly,123.56,3.1,9117,100,Dry,Female,Tube,Salicylic Acid,False,South Korea
Magic Powder,Perricone MD,Concealer,Weekly,62.36,1.1,9612,200,Sensitive,Female,Compact,Glycerin,True,Italy
Divine Setting Spray,Morphe,Foundation,Monthly,144.37,3.8,6481,250,Dry,Female,Jar,Shea Butter,True,France
Divine Highlighter,Juvia’s Place,Eyeliner,Weekly,86.6,1.2,3279,150,Normal,Unisex,Jar,Aloe Vera,True,Germany
Divine CC Cream,Clinique,Concealer,Weekly,20.52,1.3,6202,250,Sensitive,Male,Stick,Salicylic Acid,True,Australia
Perfect CC Cream,Perricone MD,CC Cream,Monthly,126.55,2.9,7858,30,Normal,Female,Bottle,Vitamin C,True,Japan
Perfect Lipstick,Danessa Myricks,Powder,Occasional,67.49,3.6,7961,100,Combination,Female,Stick,Shea Butter,False,France
Super Moisturizer,Charlotte Tilbury,Setting Spray,Weekly,56.61,3,9695,200,Sensitive,Unisex,Bottle,Retinol,True,UK
Magic Powder,ColourPop,Lip Gloss,Weekly,33.02,1.3,9341,200,Oily,Unisex,Spray,Retinol,False,France
Divine Cleanser,Becca,Face Mask,Monthly,63.63,4.5,6366,100,Combination,Unisex,Tube,Glycerin,True,Germany
Perfect Cleanser,Bourjois,Foundation,Daily,60.11,2.6,6222,150,Sensitive,Unisex,Bottle,Retinol,False,Italy
Super Setting Spray,IT Cosmetics,Lip Liner,Monthly,13.48,2.5,1724,150,Sensitive,Unisex,Tube,Vitamin C,False,Germany
Perfect Setting Spray,Kylie Cosmetics,Mascara,Daily,24.25,4.4,1836,100,Normal,Male,Stick,Glycerin,False,Australia
Super Lip Gloss,Perricone MD,Face Mask,Daily,47.15,1.1,2696,100,Sensitive,Female,Tube,Salicylic Acid,False,Japan
Magic Face Mask,Make Up For Ever,Cleanser,Daily,62.29,4.8,1078,30,Sensitive,Unisex,Tube,Glycerin,False,Germany
Super Contour,Make Up For Ever,Eye Shadow,Occasional,28.98,3.3,4397,30,Sensitive,Male,Tube,Retinol,False,Italy
Super Primer,Fenty Beauty,Lip Gloss,Occasional,76.67,4.7,2896,250,Normal,Male,Stick,Glycerin,True,Japan
Divine Eyeliner,Laura Mercier,Eye Shadow,Weekly,95.91,3.9,3941,100,Dry,Female,Tube,Glycerin,False,Italy
Magic Powder,Pat McGrath Labs,Highlighter,Monthly,67.95,2,853,200,Sensitive,Female,Compact,Aloe Vera,True,Germany
Perfect Makeup Remover,Shiseido,Face Mask,Weekly,90.85,4.1,147,150,Combination,Male,Compact,Vitamin C,True,Australia
Perfect Exfoliator,IT Cosmetics,Powder,Occasional,34.58,1.6,7972,30,Oily,Male,Bottle,Salicylic Acid,True,France
Super Exfoliator,Bobby Brown,Primer,Monthly,11.82,4.9,499,50,Oily,Female,Jar,Shea Butter,False,UK
Divine Setting Spray,Patrick Ta,Cleanser,Monthly,38.81,1.1,6897,250,Sensitive,Unisex,Stick,Glycerin,True,Japan
Divine CC Cream,Laura Mercier,Face Oil,Occasional,63.73,4.9,2341,100,Oily,Male,Bottle,Aloe Vera,True,UK
Super Bronzer,Huda Beauty,Cleanser,Occasional,139.34,4.2,418,200,Normal,Female,Compact,Hyaluronic Acid,True,Australia
Divine Foundation,Bobby Brown,Mascara,Occasional,132.98,1.7,1110,30,Dry,Male,Bottle,Shea Butter,True,Australia
Divine Eye Shadow,KVD Beauty,Eye Shadow,Occasional,100.55,3.2,3552,100,Dry,Female,Stick,Retinol,False,USA
Divine CC Cream,Tatcha,Powder,Weekly,55.35,4.8,9836,150,Normal,Unisex,Jar,Glycerin,False,Germany
Ultra Highlighter,Fenty Beauty,Face Mask,Daily,59.29,4.1,4265,250,Combination,Male,Stick,Hyaluronic Acid,True,Australia
Ultra Setting Spray,Charlotte Tilbury,Blush,Monthly,59.72,1.6,3906,100,Normal,Female,Bottle,Glycerin,True,Australia
Perfect Moisturizer,Huda Beauty,Foundation,Monthly,14.83,3.6,2831,50,Dry,Female,Stick,Hyaluronic Acid,False,Italy
Super Cleanser,Becca,Eye Shadow,Weekly,139.22,3.5,8580,150,Dry,Male,Jar,Vitamin C,True,South Korea
Ultra Primer,IT Cosmetics,Eye Shadow,Daily,96.78,1.8,6338,100,Dry,Male,Bottle,Salicylic Acid,False,Italy
Magic Blush,Pat McGrath Labs,Setting Spray,Weekly,80.95,4.2,9533,150,Combination,Unisex,Spray,Retinol,True,Australia
Ultra Mascara,Juvia’s Place,Powder,Weekly,73.16,3,1840,100,Oily,Female,Stick,Vitamin C,False,South Korea
Divine Contour,Patrick Ta,Highlighter,Daily,23.93,2.5,2855,100,Combination,Female,Spray,Aloe Vera,True,USA
Super Primer,Yves Saint Laurent,Lip Gloss,Daily,140.09,3.7,1418,150,Oily,Female,Compact,Retinol,True,Australia
Magic Blush,Farsali,Mascara,Daily,120.72,2.6,9027,50,Normal,Male,Jar,Aloe Vera,False,Japan
Ultra Face Mask,KVD Beauty,Face Oil,Weekly,76.2,4.5,5291,100,Oily,Unisex,Jar,Aloe Vera,True,France
Ultra Makeup Remover,Glossier,Eyeliner,Daily,103.95,3.4,7355,100,Sensitive,Female,Compact,Vitamin C,True,UK
Divine Serum,Patrick Ta,Powder,Occasional,134.74,1.1,6700,30,Dry,Unisex,Jar,Hyaluronic Acid,False,Australia
Super Lip Gloss,Make Up For Ever,BB Cream,Occasional,36.54,3.5,3958,250,Combination,Male,Jar,Aloe Vera,True,Italy
Divine Moisturizer,Danessa Myricks,Foundation,Monthly,12.24,2.6,7870,250,Sensitive,Unisex,Jar,Hyaluronic Acid,True,Germany
Perfect Concealer,Farsali,CC Cream,Daily,133.89,2.2,5023,30,Normal,Unisex,Jar,Retinol,False,Italy
Magic Face Mask,Patrick Ta,Eyeliner,Occasional,71.44,3.9,5316,150,Sensitive,Female,Spray,Hyaluronic Acid,False,South Korea
Magic Face Mask,Bite Beauty,Eyeliner,Occasional,96.29,3.6,2059,250,Combination,Male,Spray,Glycerin,True,France
Ultra Bronzer,Ilia Beauty,Serum,Monthly,28.05,5,4094,100,Combination,Male,Tube,Hyaluronic Acid,True,South Korea
Divine Face Oil,Urban Decay,Lip Gloss,Monthly,68.57,3.4,3896,250,Sensitive,Male,Jar,Shea Butter,False,South Korea
Divine Primer,Tarte,Concealer,Daily,144.6,2.1,114,200,Sensitive,Female,Jar,Aloe Vera,False,Japan
Magic Face Mask,Make Up For Ever,Eye Shadow,Weekly,145.06,3.9,8237,200,Combination,Unisex,Compact,Hyaluronic Acid,False,UK
Perfect Eye Shadow,Hourglass,BB Cream,Weekly,29.47,1.8,6841,30,Dry,Unisex,Spray,Vitamin C,False,Japan
Divine Face Mask,Drunk Elephant,Eye Shadow,Monthly,99.03,4,3641,150,Dry,Male,Tube,Salicylic Acid,True,Germany
Divine Exfoliator,Drunk Elephant,Bronzer,Occasional,133.27,2.4,6058,200,Sensitive,Male,Tube,Aloe Vera,False,Germany
Perfect Highlighter,Natasha Denona,CC Cream,Monthly,87.82,3.9,3154,200,Sensitive,Unisex,Stick,Salicylic Acid,True,UK
Super Face Mask,RMS Beauty,Mascara,Daily,142.81,3.1,669,250,Oily,Male,Bottle,Glycerin,True,USA
Perfect Powder,Patrick Ta,Powder,Weekly,91.46,3.6,3547,30,Oily,Female,Stick,Retinol,True,Japan
Ultra Contour,Farsali,Lip Liner,Occasional,76.07,3.5,8209,30,Combination,Female,Jar,Shea Butter,False,UK
Magic Highlighter,Morphe,Foundation,Monthly,94.77,4.1,7622,30,Normal,Male,Tube,Shea Butter,True,USA
Magic CC Cream,Sisley,Face Oil,Weekly,58.62,3.1,3513,50,Dry,Female,Compact,Glycerin,False,Italy
Perfect Powder,IT Cosmetics,Moisturizer,Occasional,40.79,3.6,2309,50,Oily,Female,Spray,Retinol,True,Japan
